구분,키,값,값유형,적용대상,lang,설명
배송정책,FREE_SHIPPING_THRESHOLD,50000,수치,공통,,이 금액 이상이면 배송비 0원. shipping 탭이 비었을 때의 폴백
배송정책,SHIPPING_FEE,3000,수치,공통,,기본 배송비. shipping 탭이 비었을 때의 폴백
배송정책,SHIPPING_MIX_RULE,합산,제어값,공통,,"냉동+상온 혼합 주문의 배송비. 합산=유형별로 각각 부과, 최대=비싼 쪽 하나만"
결제정보,ACCOUNT_INFO,하나은행 0000000000 (모모플러스),문구,공통,,계좌 안내 문구
응대규칙,EXACT_NAME_PRIORITY,Y,제어값,공통,,정식 품목명과 정확히 일치하면 유사어 중복이어도 해당 상품으로 확정. N으로 두면 되물음 처리
응대규칙,ASK_RETRY_LIMIT,2,수치,공통,,같은 것을 몇 번까지 되묻고 포기할지
응대규칙,AMBIGUOUS_MAX_OPTIONS,5,수치,공통,,되물음에 나열할 후보의 최대 개수. 넘으면 인기 1위 하나만 제안한다
응대규칙,AMBIGUOUS_ATTR_THRESHOLD,20,수치,공통,,후보가 이보다 많으면 종류(species)·부위(part)로 한 단계 먼저 좁힌다
플래그,AMBIGUOUS_ALIAS,되물음,제어값,공통,,유사어가 2개 이상 상품에 걸리면 임의 선택 금지. 후보를 가격과 함께 제시하고 선택받는다
플래그,MISSING_PRICE,차단,제어값,공통,,단가 없는 항목이 있으면 총액 확정 금지. 상담원 검수로 넘긴다
플래그,PRODUCT_NOT_FOUND,되물음,제어값,공통,,"DB에 없는 표현. 임의 대체 금지, 고객에게 확인"
플래그,SOLDOUT,되물음,제어값,공통,,품절 상품. 주문 확정을 막고 같은 부위의 대체 후보를 제시한다
플래그,RECEIVER_MISSING,미완료,제어값,공통,,수령인 이름 없음
플래그,PHONE_INVALID,미완료,제어값,공통,,전화번호 형식 오류 (소수점 포함·0으로 시작하지 않음·10~11자리 아님)
플래그,ADDRESS_MISSING,미완료,제어값,공통,,주소 자체가 없음 (상세주소 누락은 ADDRESS_DETAIL_MISSING)
플래그,PAYMENT_PROOF_IMAGE,검수필수,제어값,공통,,입금증 이미지를 받음. 상담원이 은행 내역과 대조해야 한다
플래그,PAYMENT_UNCONFIRMED,미완료,제어값,공통,,입금 미확인. 상담원이 은행에서 직접 확인 후 체크
플래그,HANDOFF_REQUEST,상담원연결,제어값,자동봇,,고객이 상담원 연결을 명시적으로 요청
플래그,ANGRY_CUSTOMER,상담원연결,제어값,자동봇,,"고객 불만·화남 감지 시 즉시 상담원 인계, AI 응답 중단"
응대규칙,NO_PRODUCT_FACT_GUESS,금지,제어값,공통,,DB에 없는 원산지·성분·유통기한·보관법은 추측해 답하지 않는다
응대규칙,NO_PAYMENT_JUDGEMENT,금지,제어값,자동봇,,'입금 확인됐습니다' 발언 금지. 입금 여부는 상담원이 은행에서 확인한다. 먼저 증빙을 요구하지 않는다
응대규칙,SHOW_LINE_BASIS,필수,제어값,공통,,총액만 말하지 않는다. 항목별 단가×수량을 함께 보여준다
응대규칙,ANSWER_CUSTOMER_QUESTION,필수,제어값,공통,,고객이 물은 것에는 반드시 답한다. 되물음·정보 요청 때문에 고객 질문을 흘려보내지 않는다
